date time,cpu usage(%),mem usage(bytes),gpu usage(%),disk usage(%),network upload speed(Bps),network download speed(Bps)
2023/12/29 18:09:03,1.28,19355000000,4,1.12,1000,12000
2023/12/29 18:09:04,0.67,19354000000,3,0.96,711,478
2023/12/29 18:09:05,0.51,19347000000,3,0.13,6000,0
2023/12/29 18:09:06,0.78,19351000000,4,2.45,40000,4000
2023/12/29 18:09:07,0.95,19342000000,3,0.93,112000,3000
2023/12/29 18:09:08,0,19337000000,5,1.12,60,0
2023/12/29 18:09:09,0.73,19331000000,5,0.13,453,54
2023/12/29 18:09:10,0.97,19324000000,4,1.13,2000000,15000
2023/12/29 18:09:11,0.72,19330000000,4,1.47,2000,8000
2023/12/29 18:09:12,1.85,19331000000,7,0.98,60,0
2023/12/29 18:09:13,0.25,19310000000,6,0.99,2000,4000
2023/12/29 18:09:14,5.7,19297000000,5,2.46,504000,38000
2023/12/29 18:09:15,3.32,19268000000,5,1.92,2000000,67000
2023/12/29 18:09:16,2.78,19262000000,6,1.36,60,0
2023/12/29 18:09:17,1.45,19252000000,4,0.87,13000,14000
2023/12/29 18:09:18,1.21,19247000000,5,1.31,697,467
2023/12/29 18:09:19,0.16,19266000000,4,1.22,982,2000
2023/12/29 18:09:20,1.31,19243000000,5,0.4,1000000,23000
2023/12/29 18:09:21,1.55,19259000000,4,0.92,55000,980
2023/12/29 18:09:22,0.79,19250000000,5,0.82,911000,24000
2023/12/29 18:09:23,0.49,19250000000,5,1.31,341,270
2023/12/29 18:09:24,0.88,19249000000,5,0.41,6000,6000
2023/12/29 18:09:25,0.49,19251000000,2,1.09,1000,5000
2023/12/29 18:09:26,0.5,19240000000,5,1.3,827000,32000
2023/12/29 18:09:27,1.63,19230000000,4,1.12,0,42
2023/12/29 18:09:28,0.72,19231000000,2,0.54,239000,6000
2023/12/29 18:09:29,0.94,19235000000,2,1.2,325,1000
2023/12/29 18:09:30,1.66,19235000000,2,1.29,28000,4000
2023/12/29 18:09:31,0.64,19224000000,3,0.66,0,0
2023/12/29 18:09:32,1.58,19241000000,5,0.28,767000,15000
2023/12/29 18:09:33,1.08,19241000000,2,1.11,4000,9000
2023/12/29 18:09:34,0,19241000000,1,0.56,618,429
2023/12/29 18:09:35,1.18,19249000000,2,0.27,133,180
2023/12/29 18:09:36,0,19245000000,3,0.78,155000,3000
2023/12/29 18:09:37,1.13,19244000000,2,0.89,67,71
2023/12/29 18:09:38,1.05,19252000000,1,1.05,289,207
2023/12/29 18:09:39,0,19262000000,2,0.26,66,0
2023/12/29 18:09:40,0.88,19268000000,1,0.9,488,125
2023/12/29 18:09:41,2.2,19309000000,2,1.1,3000,832
2023/12/29 18:09:42,1.01,19295000000,1,0.93,206,162
2023/12/29 18:09:43,1.12,19293000000,2,1.29,190000,8000
2023/12/29 18:09:44,1.29,19296000000,2,1.21,1000,436
2023/12/29 18:09:45,0.48,19295000000,2,1.14,6000,6000
2023/12/29 18:09:46,0.69,19305000000,1,0.62,60,0
2023/12/29 18:09:47,0.81,19304000000,1,1.65,212,125
2023/12/29 18:09:48,0.61,19301000000,1,1.58,120,42
2023/12/29 18:09:49,0.94,19301000000,2,1.33,0,0
2023/12/29 18:09:50,1.51,19294000000,2,0.13,60,0
2023/12/29 18:09:51,2.76,19320000000,4,0.73,7000,939
2023/12/29 18:09:52,2.44,19335000000,2,0.87,189000,2000
2023/12/29 18:09:53,1.83,19320000000,1,1.31,7000,3000
2023/12/29 18:09:54,1.88,19303000000,1,0.25,230,162
2023/12/29 18:09:55,0.47,19301000000,2,1.57,0,0
2023/12/29 18:09:56,0.51,19300000000,2,1.6,126,55
2023/12/29 18:09:57,1.97,19310000000,2,1.45,0,113
2023/12/29 18:09:58,0.87,19311000000,3,0.29,120,0
2023/12/29 18:09:59,0.93,19310000000,1,1.25,67,71
2023/12/29 18:10:00,1.1,19308000000,2,1.62,60,0
2023/12/29 18:10:01,0.84,19321000000,4,0.75,0,0
2023/12/29 18:10:02,1.1,19317000000,2,0.13,60,0
2023/12/29 18:10:49,0,19271000000,4,0,134,142
2023/12/29 18:10:50,0.03,19267000000,2,0.4,127,71
2023/12/29 18:10:51,1.66,19279000000,2,0.14,0,0
2023/12/29 18:10:52,1.27,19236000000,5,0.54,44000,7000
2023/12/29 18:10:53,0,19236000000,2,1.12,310,246
2023/12/29 18:10:54,2,19237000000,4,0.53,6000,6000
2023/12/29 18:10:55,2.04,19229000000,2,1.11,49000,11000
2023/12/29 18:10:56,0.26,19237000000,4,1.95,4000,3000
2023/12/29 18:10:57,2.44,19223000000,3,0.34,123000,13000
2023/12/29 18:10:58,0.98,19237000000,2,0.43,4000,2000
2023/12/29 18:10:59,0.75,19218000000,2,1.4,303,54
2023/12/29 18:11:00,0.75,19218000000,3,1.09,60,0
2023/12/29 18:11:01,0.6,19221000000,2,1.89,67,71
2023/12/29 18:11:02,0.52,19219000000,2,0.56,569,384
2023/12/29 18:11:03,1.06,19242000000,2,0.64,1000,8000
2023/12/29 18:11:04,0.51,19215000000,1,1.57,637,703
2023/12/29 18:11:05,0.56,19207000000,2,0.61,6000,180
2023/12/29 18:11:06,0.89,19211000000,2,0.43,12000,5000
2023/12/29 18:11:07,0.31,19225000000,2,0.79,67,71
2023/12/29 18:11:08,1.51,19241000000,4,1.06,289,152
2023/12/29 18:11:09,0,19236000000,1,0.82,514,0
2023/12/29 18:11:10,0.94,19240000000,1,0.43,127,71
2023/12/29 18:11:11,0.72,19233000000,2,0.55,0,0
2023/12/29 18:11:12,0.39,19246000000,2,0.77,1000,0
2023/12/29 18:11:13,0,19259000000,1,0.26,170,162
2023/12/29 18:11:14,0.35,19266000000,2,0.66,230,162
2023/12/29 18:11:15,0.37,19258000000,1,0.74,60,42
2023/12/29 18:11:16,0.88,19253000000,2,0.54,127,71
2023/12/29 18:11:17,0,19268000000,1,0.53,4000,2000
2023/12/29 18:11:18,2.68,19258000000,5,0.75,10000,5000
2023/12/29 18:11:19,0.23,19264000000,2,0.79,0,0
2023/12/29 18:11:20,0.3,19256000000,2,0.37,60,0
2023/12/29 18:11:21,0.81,19254000000,2,0.26,8000,4000
2023/12/29 18:11:22,0.17,19258000000,1,0.72,60,0
2023/12/29 18:11:23,1.19,19263000000,3,0.66,5000,4000
2023/12/29 18:11:24,1.4,19233000000,2,0.58,171000,68000
2023/12/29 18:11:25,0.47,19244000000,4,1.09,2000,4000
2023/12/29 18:11:26,0.98,19203000000,4,1.4,124000,21000
2023/12/29 18:11:27,2.48,19200000000,5,1.17,411000,16000
2023/12/29 18:11:28,0.72,19201000000,5,0.66,60,42
2023/12/29 18:11:29,4.02,19204000000,4,0.92,64000,2000
2023/12/29 18:11:30,0.32,19215000000,4,1.21,344000,4000
2023/12/29 18:11:31,2.88,19197000000,5,0.59,373,4000
2023/12/29 18:11:32,0.8,19177000000,5,0.22,137,75
2023/12/29 18:11:33,0.25,19186000000,5,0.4,438,517
2023/12/29 18:11:34,1.79,19181000000,5,0.62,53000,27000
2023/12/29 18:11:35,3.31,19161000000,4,1.35,769000,41000
2023/12/29 18:11:36,0.64,19157000000,3,0.26,380,145
2023/12/29 18:11:37,1.16,19149000000,5,2.01,530000,23000
2023/12/29 18:11:38,3.21,19153000000,4,0.8,1000000,46000
2023/12/29 18:11:39,1.11,19151000000,4,0.14,502,306
2023/12/29 18:11:40,0.23,19151000000,4,0.57,286,180
2023/12/29 18:11:41,0.26,19150000000,5,0.57,105000,2000
2023/12/29 18:11:42,1.44,19143000000,5,0.94,1000000,31000
2023/12/29 18:11:43,1.2,19143000000,5,0.25,1000,162
2023/12/29 18:11:44,1.29,19149000000,5,0.97,290,436
2023/12/29 18:11:45,1.35,19148000000,4,0.68,307000,7000
2023/12/29 18:11:46,0.55,19156000000,1,0.39,351,287
2023/12/29 18:11:47,0.51,19148000000,4,0.28,107000,6000
2023/12/29 18:11:48,0.19,19148000000,1,0.92,6000,2000
2023/12/29 18:11:49,0.38,19150000000,1,1.36,134,142
2023/12/29 18:11:50,0.17,19155000000,1,1.08,193,126
2023/12/29 18:11:51,0.43,19154000000,1,0.25,0,0
2023/12/29 18:11:52,1.13,19159000000,1,1.1,1000,2000
2023/12/29 18:11:53,0,19161000000,1,0.64,459,427
2023/12/29 18:11:54,2.03,19189000000,2,0.67,230,162
2023/12/29 18:11:55,0.12,19185000000,1,0.28,67,71
2023/12/29 18:11:56,0.62,19181000000,2,0.43,642,270
2023/12/29 18:11:57,0.29,19195000000,2,0.37,0,0
2023/12/29 18:11:58,0.34,19189000000,5,0.25,60,0
2023/12/29 18:11:59,0.85,19210000000,2,1.9,60,42
2023/12/29 18:12:00,2.53,19078000000,4,6.24,31000,10000
2023/12/29 18:12:01,1.73,19052000000,4,0.82,54000,20000
2023/12/29 18:12:02,0,19045000000,3,0.37,9000,6000
2023/12/29 18:12:03,1.05,19052000000,1,0.8,110,162
2023/12/29 18:12:04,0.23,19043000000,2,0.4,290,2000
2023/12/29 18:12:05,0.67,19058000000,2,0.73,6000,54
2023/12/29 18:12:06,0.87,19055000000,1,0.26,7000,145
2023/12/29 18:12:07,0.5,19053000000,1,0.5,0,0
2023/12/29 18:12:08,0.22,19067000000,2,0.77,126,109
2023/12/29 18:12:09,1.42,19078000000,1,0.5,2000,272
2023/12/29 18:12:10,1.49,19078000000,1,0.42,8000,24000
2023/12/29 18:12:11,1.11,19070000000,1,0.51,3000,436
2023/12/29 18:12:12,0.53,19081000000,2,0.76,3000,217
2023/12/29 18:12:13,0.44,19079000000,2,0.27,170,162
2023/12/29 18:12:14,0.37,19074000000,5,0.62,357,275
2023/12/29 18:12:15,0.32,19076000000,4,0.65,0,0
2023/12/29 18:12:16,0.29,19073000000,4,1.36,120,54
2023/12/29 18:12:17,0.4,19082000000,2,0.29,6000,2000
2023/12/29 18:12:18,1.57,19081000000,3,2,18000,13000
2023/12/29 18:12:19,1.64,19201000000,4,1.18,4000,3000
2023/12/29 18:12:20,0.67,19191000000,3,0.39,2000,2000
2023/12/29 18:12:21,0,19189000000,1,0.25,2000,870
2023/12/29 18:12:22,0.44,19188000000,2,0.56,2000,2000
2023/12/29 18:12:23,0.66,19190000000,1,1.2,761,1000
2023/12/29 18:12:24,0.12,19183000000,1,0.35,3000,2000
2023/12/29 18:12:25,0.05,19181000000,2,0.78,3000,3000
2023/12/29 18:12:26,0,19178000000,1,1.39,230,0
2023/12/29 18:12:27,1.07,19178000000,1,0.4,306,162
2023/12/29 18:12:28,1.18,19180000000,1,0.26,1000,455
2023/12/29 18:12:29,1.21,19181000000,1,1.05,0,0
2023/12/29 18:12:30,0.91,19180000000,2,0.74,60,0
2023/12/29 18:12:31,1.87,19199000000,1,0.67,133,126
2023/12/29 18:12:32,0.66,19183000000,1,1.79,242,75
2023/12/29 18:12:33,0,19182000000,1,0.49,736,625
2023/12/29 18:12:34,1.01,19183000000,1,0.48,484,304
2023/12/29 18:12:35,0.57,19186000000,1,0.72,67,126
2023/12/29 18:12:36,1.1,19186000000,1,0.39,277,91
2023/12/29 18:12:37,0.04,19188000000,1,0.61,576,125
2023/12/29 18:12:38,0.73,19189000000,1,0.49,289,152
2023/12/29 18:12:39,0.02,19188000000,1,0.43,0,0
2023/12/29 18:12:40,0.63,19187000000,2,0.39,247,264
2023/12/29 18:12:41,0.41,19185000000,1,0.66,0,0
2023/12/29 18:12:42,0.37,19172000000,1,0.54,3000,3000
2023/12/29 18:12:43,0,19165000000,1,0.92,12000,15000
2023/12/29 18:12:44,1.49,19171000000,3,0.48,290,382
2023/12/29 18:12:45,0.63,19171000000,2,1.07,0,0
2023/12/29 18:15:02,0,19269000000,4,0,180,167
2023/12/29 18:15:03,1.54,19273000000,2,0.36,619,216
2023/12/29 18:15:04,1.2,19270000000,4,0.64,290,382
2023/12/29 18:15:05,0.51,19265000000,4,1.4,7000,11000
2023/12/29 18:15:06,0.18,19254000000,2,0.27,6000,133
2023/12/29 18:15:07,0.2,19268000000,2,5.22,6000,2000
2023/12/29 18:15:08,0.88,19265000000,3,0.69,126,55
2023/12/29 18:15:09,1.11,19233000000,3,0.31,753000,48000
2023/12/29 18:15:10,4.21,19206000000,4,0.52,725000,22000
2023/12/29 18:15:11,0,19203000000,2,0.36,234000,3000
2023/12/29 18:15:12,4.4,19215000000,2,0.9,179000,15000
2023/12/29 18:15:13,0.41,19215000000,4,0.46,680,216
2023/12/29 18:15:14,0.95,19211000000,4,0.29,140000,9000
2023/12/29 18:15:15,3.35,19210000000,2,0.83,1000000,41000
2023/12/29 18:15:16,4.39,19194000000,3,1.22,60,0
2023/12/29 18:15:17,1.73,19193000000,2,0.41,1000,12000
2023/12/29 18:15:18,4.38,19185000000,2,0.95,94000,7000
2023/12/29 18:15:19,3.66,19186000000,3,0.81,1000000,40000
2023/12/29 18:15:20,2.04,19181000000,5,0.86,435000,17000
